"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","840000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","738000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","480000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","330726","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","460000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","470000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","525000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","470000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","327958","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","335000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","365000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","500000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","345000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","510000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","385000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","503800","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","398600","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","256400","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","290324","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","554700","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","637400","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","591900","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3757700","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3046737","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4110300","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4272000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4547800","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3902900","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5091200","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4636100","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5096600","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4659200","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4511200","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4713000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5796800","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5024100","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4754800","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4368500","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5099129","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5312700","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4300000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3696500","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2989200","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3244401","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2947700","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3227300","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2895900","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3360200","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3045059","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3200300","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3052600","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3595800","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3839100","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3711811","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3936700","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2527000","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3072000","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","1195000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","1477385","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","1588100","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","1858000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2028900","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2041500","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2164500","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2623500","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2423300","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2480900","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2641000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2672700","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2546100","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2601600","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3022200","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2897100","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2998369","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2900900","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2971300","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3518000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3738800","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3851662","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","4192000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","4633200","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5613000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5532000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5607397","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","7282000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","6320100","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5714300","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5070300","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5157986","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5274200","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5630700","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5582300","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","160000","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","202748","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","184000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","210000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","205000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","120000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","90000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","125000","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","170000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","210000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","185000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","180000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","246000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","268000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","200000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","215000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","190230","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","198000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","160000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","160000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","135000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","35000","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","100000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","75000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","100000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","65000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70900","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","76300","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","111900","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","91427","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","94100","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","99200","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","83500","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","34926900","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","35121415","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","35562200","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","32080200","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","27175600","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","28086500","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","30859700","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","28605600","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","26862200","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25870300","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","27360600","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","27059900","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25626200","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25731900","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24428300","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","23855900","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24345255","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","21728100","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25141000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24917100","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","21134100","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","21562830","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","23692800","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","26271500","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24387800","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24187300","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","23782597","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","22551300","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","24892100","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25021200","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25189600","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","23454535","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","25388100","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","27027900","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Wheat, all","Acres","28","units","0","v46158","1.1.1","27044700","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","","..","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4921033","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","3735000","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","3615000","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5800000","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5400000","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5100000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5515000","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","7250000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4410000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6530000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5350000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6125000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5960000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5285000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5700000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","3795380","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4765000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6030000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5660000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","3150000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4011018","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4625000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4985000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4780000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5790000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6101500","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5205000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6185400","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","4893600","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5688600","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","5736514","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6006100","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6033800","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Wheat, durum","Acres","28","units","0","v62700956","1.1.4","6344100","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","28534500","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","29484967","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","30968500","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","27774900","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","20505300","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","21801800","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","24669700","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","22280900","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18615000","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","20483000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","19771700","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","20572900","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18421300","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18172000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","17585600","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16871000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18742975","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","15124900","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16293100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16990000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16441900","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","15733912","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16868900","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18997500","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","17563000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16977900","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","15869697","","","","0"
